GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,1600000US0628000,0628000,United States - California - Fullerton city,Fullerton city,135161(r39368)
0100000US,,United States,1600000US0628168,0628168,United States - California - Gardena city,Gardena city,58829
0100000US,,United States,1600000US0629000,0629000,United States - California - Garden Grove city,Garden Grove city,170883(r39369)
0100000US,,United States,1600000US0630000,0630000,United States - California - Glendale city,Glendale city,191719
0100000US,,United States,1600000US0630014,0630014,United States - California - Glendora city,Glendora city,50073
0100000US,,United States,1600000US0631596,0631596,United States - California - Hacienda Heights CDP,Hacienda Heights CDP,54038
0100000US,,United States,1600000US0631960,0631960,United States - California - Hanford city,Hanford city,53967
0100000US,,United States,1600000US0632548,0632548,United States - California - Hawthorne city,Hawthorne city,84293
0100000US,,United States,1600000US0633000,0633000,United States - California - Hayward city,Hayward city,144186
0100000US,,United States,1600000US0633182,0633182,United States - California - Hemet city,Hemet city,78657
0100000US,,United States,1600000US0633434,0633434,United States - California - Hesperia city,Hesperia city,90173
0100000US,,United States,1600000US0633588,0633588,United States - California - Highland city,Highland city,53104
0100000US,,United States,1600000US0636000,0636000,United States - California - Huntington Beach city,Huntington Beach city,189992
0100000US,,United States,1600000US0636056,0636056,United States - California - Huntington Park city,Huntington Park city,58114
0100000US,,United States,1600000US0636448,0636448,United States - California - Indio city,Indio city,76036
0100000US,,United States,1600000US0636546,0636546,United States - California - Inglewood city,Inglewood city,109673
0100000US,,United States,1600000US0636770,0636770,United States - California - Irvine city,Irvine city,212375
0100000US,,United States,1600000US0639248,0639248,United States - California - Laguna Niguel city,Laguna Niguel city,62979
0100000US,,United States,1600000US0639290,0639290,United States - California - La Habra city,La Habra city,60239(r39372)
0100000US,,United States,1600000US0639486,0639486,United States - California - Lake Elsinore city,Lake Elsinore city,51821
0100000US,,United States,1600000US0639496,0639496,United States - California - Lake Forest city,Lake Forest city,77264(r39373)
0100000US,,United States,1600000US0639892,0639892,United States - California - Lakewood city,Lakewood city,80048
0100000US,,United States,1600000US0640004,0640004,United States - California - La Mesa city,La Mesa city,57065
0100000US,,United States,1600000US0640130,0640130,United States - California - Lancaster city,Lancaster city,156633
0100000US,,United States,1600000US0641992,0641992,United States - California - Livermore city,Livermore city,80968
0100000US,,United States,1600000US0642202,0642202,United States - California - Lodi city,Lodi city,62134
0100000US,,United States,1600000US0643000,0643000,United States - California - Long Beach city,Long Beach city,462257
